Time_Seconds,Discharge_m3s
0.0,0.0
226.58942451533446,168.21424666070567
453.1788490306689,336.42849332141134
679.7682735460033,504.64273998211695
906.3576980613378,672.8569866428227
1132.9471225766722,841.0712333035282
1359.5365470920067,1009.2854799642339
1586.1259716073412,1177.4997266249397
1812.7153961226757,1345.7139732856454
2039.3048206380101,1513.928219946351
2265.8942451533444,1682.1424666070563
2492.483669668679,1850.356713267762
2719.0730941840134,2018.5709599284678
2945.662518699348,2186.785206589174
3172.2519432146823,2354.9994532498795
3398.841367730017,2523.213699910585
3625.4307922453513,2691.4279465712907
3852.020216760686,2859.6421932319963
4078.6096412760203,3027.856439892702
4305.199065791355,3196.0706865534075
4531.788490306689,3364.2849332141127
4758.377914822024,3532.4991798748188
4984.967339337358,3700.713426535524
5211.556763852693,3868.92767319623
5438.146188368027,4037.1419198569356
5664.735612883362,4205.356166517642
5891.325037398696,4373.570413178348
6117.914461914031,4541.784659839053
6344.503886429365,4709.998906499759
6571.0933109447,4878.213153160465
6797.682735460034,5046.42739982117
7024.272159975369,5214.641646481876
7250.861584490703,5382.855893142581
7477.451009006037,5551.070139803286
7704.040433521372,5719.284386463993
7930.629858036706,5887.498633124698
8157.219282552041,6055.712879785404
8383.808707067376,6223.9271264461095
8610.39813158271,6392.141373106815
8836.987556098044,6560.355619767521
9063.576980613378,6616.4270353210895
9290.166405128713,6504.284204213953
9516.755829644047,6392.141373106815
9743.345254159382,6279.998541999678
9969.934678674716,6167.8557108925415
10196.524103190051,6055.712879785404
10423.113527705385,5943.570048678267
10649.70295222072,5831.42721757113
10876.292376736053,5719.2843864639935
11102.881801251388,5607.141555356857
11329.471225766723,5494.998724249718
11556.060650282057,5382.855893142582
11782.650074797391,5270.713062035445
12009.239499312725,5158.570230928307
12235.828923828061,5046.42739982117
12462.418348343395,4934.2845687140325
12689.00777285873,4822.141737606896
12915.597197374063,4709.99890649976
13142.1866218894,4597.856075392621
13368.776046404733,4485.7132442854845
13595.365470920067,4373.570413178348
13821.954895435401,4261.427582071211
14048.544319950737,4149.284750964072
14275.133744466071,4037.141919856936
14501.723168981405,3924.9990887497997
14728.31259349674,3812.856257642662
14954.902018012073,3700.7134265355257
15181.49144252741,3588.5705954283876
15408.080867042743,3476.427764321251
15634.670291558077,3364.2849332141145
15861.259716073411,3252.142102106977
16087.849140588747,3139.9992709998387
16314.438565104081,3027.8564398927024
16541.027989619415,2915.7136087855656
16767.61741413475,2803.5707776784275
16994.206838650083,2691.4279465712916
17220.79626316542,2579.2851154641535
17447.385687680755,2467.1422843570163
17673.975112196087,2354.9994532498804
17900.564536711423,2242.8566221427423
18127.153961226755,2130.7137910356064
18353.74338574209,2018.5709599284685
18580.332810257427,1906.428128821331
18806.92223477276,1794.2852977141945
19033.511659288095,1682.1424666070573
19260.101083803427,1569.9996354999214
19486.690508318763,1457.8568043927833
19713.2799328341,1345.7139732856451
19939.86935734943,1233.5711421785093
20166.458781864767,1121.428311071372
20393.048206380103,1009.2854799642339
20619.637630895435,897.142648857098
20846.22705541077,784.9998177499599
21072.816479926103,672.856986642824
21299.40590444144,560.714155535686
21525.995328956775,448.5713244285486
21752.584753472107,336.42849332141276
21979.174177987443,224.28566221427468
22205.763602502775,112.14283110713882
22432.35302701811,7.395511056622555e-13
